品牌,名称,规格,三罐,六罐（3+3）
A2,A2奶粉(一段),900克,821,1570
A2,A2奶粉(二段),900克,790,1500
A2,A2奶粉(三段),900克,710,
A2,A2奶粉(四段),900克,710,1345
Aptamil,爱他美金装(一段),900克,668,1260
Aptamil,爱他美金装(二段),900克,668,1260
Aptamil,爱他美金装(三段),900克,618,1120
Aptamil,爱他美金装(四段),900克,618,1120
Aptamil,爱他美铂金装(一段),900克,748,1435
Aptamil,爱他美铂金装(二段),900克,748,1435
Aptamil,爱他美铂金装(三段),900克,716,1366
Aptamil,爱他美铂金装(四段),900克,716,1366
Bellamy's,贝拉米(一段),900克,725,1368
Bellamy's,贝拉米(二段),900克,725,1368
Bellamy's,贝拉米(三段),900克,695,1335
Karicare,可瑞康羊奶粉(一段),900克,788,1500
Karicare,可瑞康羊奶粉(二段),900克,816,1560
Karicare,可瑞康羊奶粉(三段),900克,870,1668
A2,A2成人奶粉,1公斤,780（6袋包邮）,
A2,A2成人奶粉(脱脂),1公斤,780（6袋包邮）,
Devondale,德运成人奶粉,1公斤,680（6袋包邮）,
Devondale,德运成人奶粉(脱脂),1公斤,680（6袋包邮）,
Caprilac,caprilac澳洲成人羊奶粉,1公斤,,
Maxigenes,蓝胖子,1公斤,910（6桶包邮）,
Oz Farm,澳美滋孕妇奶粉,900克,,